,mean_test_precision,mean_test_recall,mean_test_f1,rank_test_precision,rank_test_recall,rank_test_f1,params,benchmark_test_precision,benchmark_test_recall,benchmark_test_fbeta
16,0.7105020270417316,0.706676469013877,0.7011283067180357,1,1,1,"{'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.01}",0.5871559633027523,0.5378151260504201,0.5614035087719299
32,0.7105020270417316,0.706676469013877,0.7011283067180357,1,1,1,"{'tree__criterion': 'gini', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.01}",0.5871559633027523,0.5378151260504201,0.5614035087719299
80,0.7046846082510904,0.706676469013877,0.6978115883125117,3,1,3,"{'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.01}",0.5871559633027523,0.5378151260504201,0.5614035087719299
0,0.7527258002787148,0.6130188887550685,0.6723611803838728,1,4,2,"{'LR__class_weight': None, 'LR__penalty': 'l1'}",0.5871559633027523,0.5378151260504201,0.5614035087719299
1,0.7523878865850406,0.6383494252412114,0.6875720392510698,2,3,1,"{'LR__class_weight': None, 'LR__penalty': 'l2'}",0.5871559633027523,0.5378151260504201,0.5614035087719299
2,0.39171962599708615,0.9165320098491845,0.5483840490005291,4,1,4,"{'LR__class_weight': 'balanced', 'LR__penalty': 'l1'}",0.5871559633027523,0.5378151260504201,0.5614035087719299
3,0.39324789596853454,0.9165320098491845,0.5497572816757008,3,1,3,"{'LR__class_weight': 'balanced', 'LR__penalty': 'l2'}",0.5871559633027523,0.5378151260504201,0.5614035087719299
483,0.6694653667478198,0.7904865376637628,0.7237897207967398,50,577,1,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 10, 'rf__max_features': None, 'rf__min_samples_leaf': 0.01, 'rf__min_samples_split': 0.05, 'rf__n_estimators': 10}",0.5871559633027523,0.5378151260504201,0.5614035087719299
531,0.8598997493734336,0.2257918824521257,0.3291070116554992,1,642,493,"{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 0.01, 'rf__min_samples_split': 0.05, 'rf__n_estimators': 10}",0.5871559633027523,0.5378151260504201,0.5614035087719299
633,0.22026022499589662,0.966282267453531,0.3581586595221109,415,1,401,"{'rf__class_weight': 'balanced', 'rf__criterion': 'gini', 'rf__max_depth': 3, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 0.01, 'rf__min_samples_split': 0.2, 'rf__n_estimators': 10}",0.5871559633027523,0.5378151260504201,0.5614035087719299
730,0.21627909232089323,0.966282267453531,0.35326912610903893,432,1,412,"{'rf__class_weight': 'balanced', 'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 0.01, 'rf__min_samples_split': 0.2, 'rf__n_estimators': 50}",0.5871559633027523,0.5378151260504201,0.5614035087719299
4,0.7168637796762288,0.6219940583724758,0.6605718718104947,1,2,1,"{'NN__activation': 'identity', 'NN__hidden_layer_sizes': (10, 5)}",0.5871559633027523,0.5378151260504201,0.5614035087719299
23,0.6571145451962627,0.6559769226651679,0.6557697240176465,9,1,2,"{'NN__activation': 'tanh', 'NN__hidden_layer_sizes': (5, 4, 3)}",0.5871559633027523,0.5378151260504201,0.5614035087719299
